Run,alias,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,description,ena_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,Title
ERR1136327,I0011,OTHER,GCF_000001405.25,78,286081593,PRJEB11450,SAMEA3663948,93019023,HARVARD MEDICAL SCHOOL,public,"bam,sra","s3,ena,ncbi,gs","ncbi.public,s3.us-east-1,gs.US,ena",Motala_HG,ERC000011,2015-11-25,2018-11-16,ERX1215193,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:55Z,public,NextSeq 500,I0011_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663948,ERS971097,ERS971097,ERP012840,Ancient European
ERR1136328,I0012,OTHER,GCF_000001405.25,80,512280441,PRJEB11450,SAMEA3663949,172306572,HARVARD MEDICAL SCHOOL,public,"sra,bam","ena,ncbi,gs,s3","ena,ncbi.public,gs.US,s3.us-east-1",Motala_HG,ERC000011,2015-11-25,2018-11-16,ERX1215194,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:55Z,public,NextSeq 500,I0012_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663949,ERS971098,ERS971098,ERP012840,Ancient European
ERR1136329,I0013,OTHER,GCF_000001405.25,94,100896222,PRJEB11450,SAMEA3663950,41740706,HARVARD MEDICAL SCHOOL,public,"sra,bam","ncbi,s3,ena,gs","s3.us-east-1,ncbi.public,ena,gs.US",Motala_HG,ERC000011,2015-11-25,2018-11-16,ERX1215195,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:55Z,public,NextSeq 500,I0013_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663950,ERS971099,ERS971099,ERP012840,Ancient European
ERR1136330,I0014,OTHER,GCF_000001405.25,83,502508286,PRJEB11450,SAMEA3663951,182260449,HARVARD MEDICAL SCHOOL,public,"sra,bam","s3,ena,ncbi,gs","gs.US,ncbi.public,s3.us-east-1,ena",Motala_HG,ERC000011,2015-11-25,2018-11-16,ERX1215196,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:55Z,public,NextSeq 500,I0014_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663951,ERS971100,ERS971100,ERP012840,Ancient European
ERR1136331,I0015,OTHER,GCF_000001405.25,92,263571151,PRJEB11450,SAMEA3663952,98245919,HARVARD MEDICAL SCHOOL,public,"bam,sra","ncbi,ena,gs,s3","ena,gs.US,ncbi.public,s3.us-east-1",Motala_HG,ERC000011,2015-11-25,2018-11-16,ERX1215197,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:55Z,public,NextSeq 500,I0015_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663952,ERS971101,ERS971101,ERP012840,Ancient European
ERR1136332,I0017,OTHER,GCF_000001405.25,80,1112630345,PRJEB11450,SAMEA3663953,345538314,HARVARD MEDICAL SCHOOL,public,"sra,bam","gs,ena,s3,ncbi","s3.us-east-1,ncbi.public,gs.US,ena",Motala_HG,ERC000011,2015-11-25,2018-11-16,ERX1215198,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:55Z,public,NextSeq 500,I0017_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663953,ERS971102,ERS971102,ERP012840,Ancient European
ERR1136333,I0022,OTHER,GCF_000001405.25,48,101565802,PRJEB11450,SAMEA3663934,26431055,HARVARD MEDICAL SCHOOL,public,"bam,sra","ena,gs,ncbi,s3","s3.us-east-1,ncbi.public,ena,gs.US",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215199,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0022_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663934,ERS971083,ERS971083,ERP012840,Ancient European
ERR1136334,I0025,OTHER,GCF_000001405.25,56,657056303,PRJEB11450,SAMEA3663935,158389427,HARVARD MEDICAL SCHOOL,public,"sra,bam","gs,ena,ncbi,s3","gs.US,ena,ncbi.public,s3.us-east-1",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215200,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0025_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663935,ERS971084,ERS971084,ERP012840,Ancient European
ERR1136335,I0026,OTHER,GCF_000001405.25,53,657051785,PRJEB11450,SAMEA3663936,144062585,HARVARD MEDICAL SCHOOL,public,"bam,sra","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,gs.US,ena",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215201,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0026_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663936,ERS971085,ERS971085,ERP012840,Ancient European
ERR1136336,I0046,OTHER,GCF_000001405.25,77,837463593,PRJEB11450,SAMEA3663937,257815520,HARVARD MEDICAL SCHOOL,public,"sra,bam","gs,s3,ncbi,ena","ncbi.public,gs.US,s3.us-east-1,ena",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215202,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0046_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663937,ERS971086,ERS971086,ERP012840,Ancient European
